X,Y,scalerank,featurecla,name,natlscale
132.693404,33.85527778,7,Port,Matsuyama,10
139.8035336,38.93944444,7,Port,Sakata,10
134.0533569,34.35527778,7,Port,Takamatsu,10
141.6891637,45.41055556,7,Port,Wakkanai,10
134.187927,35.54027778,7,Port,Tottori,10
40.90159011,-2.268055556,7,Port,Lamu,10
126.5881037,35.95972222,7,Port,Gunsan,10
129.4028269,36.01972222,7,Port,Pohang,10
129.1882803,37.43361111,7,Port,Samcheok,10
128.5923439,38.20694444,7,Port,Sokcho,10
129.3856302,35.48777778,7,Port,Ulsan,10
35.81914016,34.45527778,7,Port,Tripoli,10
-10.05265018,5.858055556,7,Port,Buchanan,10
13.19358068,32.9075,7,Port,Tripoli,10
-9.634923439,30.42388889,7,Port,Agadir,10
-3.919846879,35.24777778,7,Port,Al Hoceima,10
-15.93386337,23.68222222,7,Port,Dakhla,10
50.2762073,-14.9,7,Port,Antalaha,10
48.01878681,-22.1425,7,Port,Manakara,10
48.3262073,-21.24916667,7,Port,Mananjary,10
44.27196702,-20.28861111,7,Port,Morondava,10
49.42196702,-18.15722222,7,Port,Toamasina,10
-111.3368669,26.01472222,7,Port,Loreto,10
-90.59040047,19.8125,7,Port,Campeche,10
-86.95742049,20.495,7,Port,Cozumel,10
-110.310424,24.16944444,7,Port,La Paz,10
-87.06772674,20.62444444,7,Port,Playa del Carmen,10
-113.5423439,31.30611111,7,Port,Puerto Penasco,10
-105.2409305,20.65916667,7,Port,Puerto Vallarta,10
-94.41896349,18.12972222,7,Port,Coatzacoalcos,10
94.72338045,16.77972222,7,Port,Bassein,10
40.6671967,-14.54138889,7,Port,Nacala,10
40.48492344,-12.96666667,7,Port,Pemba,10
36.87709069,-17.88166667,7,Port,Quelimane,10
57.48987044,-20.14805556,7,Port,Port Louis,10
102.1233804,2.248888889,7,Port,Malacca,10
101.7886337,2.536111111,7,Port,Port Dickson,10
14.50053004,-22.94055556,7,Port,Walvis Bay,10
8.316843345,4.986388889,7,Port,Calabar,10
6.586866902,53.21833333,7,Port,Groningen,10
23.23704358,69.96777778,7,Port,Alta,10
16.1237338,69.32416667,7,Port,Andenes,10
12.20194346,65.4725,7,Port,Bronnoysund,10
6.789870436,58.08861111,7,Port,Farsund,10
5.002826855,61.59777778,7,Port,Floro,10
7.986336867,58.14194444,7,Port,Kristiansand,10
11.49004711,64.46416667,7,Port,Namsos,10
11.22691402,64.86055556,7,Port,Rorvik,10
12.61878681,66.02166667,7,Port,Sandnessjoen,10
14.90989399,68.56833333,7,Port,Stokmarknes,10
5.501413428,59.78,7,Port,Stord,10
174.004417,-41.28555556,7,Port,Picton,10
170.5193168,-45.87583333,7,Port,Dunedin,10
54.00318021,16.94166667,7,Port,Salalah,10
62.33863369,25.11222222,7,Port,Gwadar,10
-82.23757362,9.34,7,Port,Bocas del Toro,10
-78.15106007,8.413611111,7,Port,La Palma,10
-78.60777385,-9.076666667,7,Port,Chimbote,10
-71.34375736,-17.64694444,7,Port,Ilo,10
-72.01024735,-17.03111111,7,Port,Mollendo,10
-76.22196702,-13.73305556,7,Port,Pisco,10
123.3081272,9.311944444,7,Port,Dumaguete,10
125.1542403,6.086111111,7,Port,General Santos,10
154.671967,-5.431944444,7,Port,Buka,10
143.2065371,-9.068333333,7,Port,Daru,10
146.9847468,-6.741111111,7,Port,Lae,10
145.8003534,-5.213333333,7,Port,Madang,10
18.66878681,54.39333333,7,Port,Gdansk,10
18.53845701,54.53333333,7,Port,Gdynia,10
-67.15706714,18.42944444,7,Port,Aguadilla,10
-66.70035336,18.48138889,7,Port,Arecibo,10
-67.15689046,18.21388889,7,Port,Mayaguez,10
-7.926030624,37.01055556,7,Port,Faro,10
-151.75,-16.51666667,7,Port,Bora-Bora,10
28.81684335,45.19111111,7,Port,Tulcea,10
61.55918728,69.75611111,7,Port,Amderma,10
177.5386337,64.74416667,7,Port,Anadyr,10
170.2770907,69.70166667,7,Port,Pevek,10
-16.07196702,14.12944444,7,Port,Kaolack,10
-16.26808009,12.58972222,7,Port,Ziguinchor,10
15.6237338,78.22611111,7,Port,Longyearbyen,10
156.8388104,-8.101388889,7,Port,Gizo,10
157.7260306,-8.499722222,7,Port,Viru Harbour,10
42.54110718,-0.374166667,7,Port,Kismayu,10
13.52020024,59.37527778,7,Port,Karlstad,10
13.15936396,58.50916667,7,Port,Lidkoping,10
21.25176678,64.67833333,7,Port,Skelleftea,10
20.26772674,63.81666667,7,Port,Umea,10
-72.25600707,21.76277778,7,Port,Providenciales,10
100.5696702,7.228611111,7,Port,Songkhla,10
27.95724382,40.35416667,7,Port,Bandirma,10
36.34040047,41.29972222,7,Port,Samsun,10
35.14287397,42.02333333,7,Port,Sinop,10
39.73651355,41.00555556,7,Port,Trabzon,10
33.54146054,44.61888889,7,Port,Sevastopol,10
-135.3223204,59.45083333,7,Port,Skagway,10
-146.3570671,61.10361111,7,Port,Valdez,10
-84.98669022,29.7275,7,Port,Apalachicola,10
-76.47426384,38.965,7,Port,Annapolis,10
-76.07108363,38.57416667,7,Port,Cambridge,10
-122.7836867,45.60583333,7,Port,Portland,10
-122.6377503,47.5625,7,Port,Bremerton,10
-69.10212014,44.10305556,7,Port,Rockland,10
-122.0014134,36.96638889,7,Port,Santa Cruz,10
-76.23951708,36.7225,7,Port,Chesapeake,10
-64.18775029,10.47416667,7,Port,Cumana,10
106.6751472,20.86722222,7,Port,Hai Phong,10
19.91057206,39.62195014,7,Port,Corfu,10
30.16765719,31.33492329,7,Port,Alexandria,10
-5.824954242,35.79611354,7,Port,Tangier,10
-79.85,43.25,7,Port,Hamilton,10
-83.03,42.31,7,Port,Windsor,10
-83.11,42.28,7,Port,Rouge River,10
-80.93,44.58,7,Port,Owen Sound,10
-84.35,46.51,7,Port,Sault Ste Marie,10
-83.93,43.43,7,Port,Saginaw,10
-84.46,45.65,7,Port,Cheboygan,10
-84.35,46.5,7,Port,Sault Ste Marie,10
-86.26,43.23,7,Port,Muskegon,10
-87.33,41.61,7,Port,Gary,10
-87.81,42.36,7,Port,Waukegan,10
-88.56,47.11,7,Port,Houghton,10
-132.38,56.46,7,Port,Wrangell,10
-132.95,56.81,7,Port,Petersburg,10
24.56,65.73,7,Port,Kemi,10
21.58,63.1,7,Port,Vaasa,10
22.23,60.45,7,Port,Turku,10
21.01,56.51,7,Port,Liepaja,10
4.11,51.95,7,Port,Europoort,10
-6.36,58.18,7,Port,Stornoway Harbor,10
-9.16,38.7,7,Port,Lisboa,10
-6.33,36.8,7,Port,Bonanza,10
1.45,38.9,7,Port,Ibiza,10
39.71,47.16,7,Port,Rostov-Na-Donu,10
